ITEM_CODE,Sales Year,W#,Week Number,EMP_ID,Quantity,Price,Total$,Sales Period,Sales Quarter,Week Start Date,Week End Date,PayGrade,Region,Manufacturer,Firstname,Lastname,ESP Code,ESP Quantity,ESP Price,ESP Totals
PROD_001,2019,W0,1,EMP234,34,12449,423266,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_001,4,843,3372
PROD_002,2019,W0,1,EMP234,27,14786,399222,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Cat,Jane,Bachmann,ESP_001,4,843,3372
PROD_003,2019,W0,1,EMP234,34,14999,509966,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_001,4,843,3372
PROD_004,2019,W0,1,EMP234,35,11385,398475,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_001,4,843,3372
PROD_005,2019,W0,1,EMP234,26,13995,363870,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_001,4,843,3372
PROD_006,2019,W0,1,EMP234,16,4575,73200,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_001,4,843,3372
PROD_007,2019,W0,1,EMP234,14,22987,321818,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Bobcat,Jane,Bachmann,ESP_001,4,843,3372
PROD_008,2019,W0,1,EMP234,10,11589,115890,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_001,4,843,3372
PROD_001,2019,W0,1,EMP234,34,12449,423266,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_002,2,843,1686
PROD_002,2019,W0,1,EMP234,27,14786,399222,1,2019Q1,2018-12-30,2019-01-05,C13,NW,Cat,Jane,Bachmann,ESP_002,2,843,1686
PROD_003,2019,W0,1,EMP234,34,14999,509966,1,2019Q1,2018-12-30,2019-01-05,C13,NW,John Deere,Jane,Bachmann,ESP_002,2,843,1686
